reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	0	0.0
motion	motion_one_hop_jerund	0	60	0	0.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	0	0.0
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	0	0.0
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	48	1.0
motion	non_motion_one_hop_jerund	2	32	0	0.0
orientation	above_below_one_hop	0	448	0	0.0
orientation	above_below_one_hop	1	2688	2688	1.0
orientation	cardinals_neutral	0	7680	0	0.0
orientation	cardinals_one_hop	0	240	0	0.0
orientation	cardinals_one_hop	1	1680	1680	1.0
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	2688	1.0
orientation	left_right_one_hop	0	1008	0	0.0
orientation	left_right_one_hop	1	3696	3696	1.0
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	180	0	0.0
distance	nearby_neutral	1	180	0	0.0
distance	not_touching_neutral	0	180	0	0.0
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	0	0.0
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	0	0.0
distance	touching_positive	1	180	0	0.0
distance	touching_positive	2	180	0	0.0
distance	transitivity_negative	0	1620	1620	1.0
containment	filled_with	0	12	0	0.0
containment	filled_with	1	12	12	1.0
containment	motion_out_of	0	36	0	0.0
containment	motion_out_of	1	36	36	1.0
containment	motion_out_of	2	18	18	1.0
containment	motion_out_of	3	18	0	0.0
containment	movement_into_container	0	36	0	0.0
containment	movement_into_container	1	36	36	1.0
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	0	0.0
containment	one_hop_pos	0	136	0	0.0
containment	one_hop_pos	1	136	0	0.0
containment	one_hop_pos	2	136	0	0.0
containment	two_hop_fits_in	0	552	0	0.0
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	0	0.0
containment	two_hop_is_in	1	552	0	0.0
containment	two_hop_is_in	2	552	0	0.0
containment	two_hop_is_in	3	552	0	0.0
containment	two_hop_is_in	4	552	0	0.0
containment	two_hop_is_in	5	552	552	1.0
containment	two_hop_is_in	6	552	552	1.0
