reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	17	0.4722222222222222
motion	motion_one_hop	2	24	24	1.0
motion	motion_one_hop_jerund	0	60	0	0.0
motion	motion_one_hop_jerund	1	60	52	0.8666666666666667
motion	motion_one_hop_jerund	2	40	24	0.6
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	19	0.5277777777777778
motion	non_motion_one_hop	2	24	20	0.8333333333333334
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	14	0.2916666666666667
motion	non_motion_one_hop_jerund	2	32	28	0.875
orientation	above_below_one_hop	0	448	0	0.0
orientation	above_below_one_hop	1	2688	886	0.32961309523809523
orientation	cardinals_neutral	0	7680	547	0.07122395833333334
orientation	cardinals_one_hop	0	240	0	0.0
orientation	cardinals_one_hop	1	1680	1428	0.85
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	1462	0.5438988095238095
orientation	left_right_one_hop	0	1008	0	0.0
orientation	left_right_one_hop	1	3696	1617	0.4375
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	50	0.8333333333333334
distance	far_negative	3	60	55	0.9166666666666666
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	180	180	1.0
distance	nearby_neutral	1	180	180	1.0
distance	not_touching_neutral	0	180	11	0.06111111111111111
distance	not_touching_neutral	1	180	180	1.0
distance	not_touching_neutral	2	180	8	0.044444444444444446
distance	not_touching_neutral	3	180	180	1.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	150	0.8333333333333334
distance	touching_negative	2	180	131	0.7277777777777777
distance	touching_positive	0	180	42	0.23333333333333334
distance	touching_positive	1	180	0	0.0
distance	touching_positive	2	180	0	0.0
distance	transitivity_negative	0	1620	0	0.0
containment	filled_with	0	12	0	0.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	0	0.0
containment	motion_out_of	1	36	8	0.2222222222222222
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	0	0.0
containment	movement_into_container	0	36	0	0.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	17	0.9444444444444444
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	5	0.05952380952380952
containment	one_hop_pos	0	136	0	0.0
containment	one_hop_pos	1	136	0	0.0
containment	one_hop_pos	2	136	0	0.0
containment	two_hop_fits_in	0	552	96	0.17391304347826086
containment	two_hop_fits_in	1	552	550	0.9963768115942029
containment	two_hop_fits_in	2	552	550	0.9963768115942029
containment	two_hop_fits_in	3	552	552	1.0
containment	two_hop_fits_in	4	552	552	1.0
containment	two_hop_fits_in	5	552	552	1.0
containment	two_hop_fits_in	6	552	552	1.0
containment	two_hop_is_in	0	552	28	0.050724637681159424
containment	two_hop_is_in	1	552	1	0.0018115942028985507
containment	two_hop_is_in	2	552	2	0.0036231884057971015
containment	two_hop_is_in	3	552	0	0.0
containment	two_hop_is_in	4	552	4	0.007246376811594203
containment	two_hop_is_in	5	552	0	0.0
containment	two_hop_is_in	6	552	0	0.0
