reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	16	0.6666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	13	0.325
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	47	0.9791666666666666
motion	non_motion_one_hop_jerund	1	48	20	0.4166666666666667
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	404	0.9017857142857143
orientation	above_below_one_hop	1	2688	676	0.25148809523809523
orientation	cardinals_neutral	0	7680	103	0.013411458333333333
orientation	cardinals_one_hop	0	240	202	0.8416666666666667
orientation	cardinals_one_hop	1	1680	526	0.3130952380952381
orientation	front_back_one_hop	0	448	435	0.9709821428571429
orientation	front_back_one_hop	1	2688	382	0.14211309523809523
orientation	left_right_one_hop	0	1008	828	0.8214285714285714
orientation	left_right_one_hop	1	3696	1755	0.47483766233766234
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	46	0.7666666666666667
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	14	0.7
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	65	0.3611111111111111
distance	nearby_neutral	1	180	65	0.3611111111111111
distance	not_touching_neutral	0	180	57	0.31666666666666665
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	82	0.45555555555555555
distance	not_touching_neutral	3	180	3	0.016666666666666666
distance	touching_negative	0	180	159	0.8833333333333333
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	33	0.18333333333333332
distance	touching_positive	1	180	171	0.95
distance	touching_positive	2	180	165	0.9166666666666666
distance	transitivity_negative	0	1620	1103	0.6808641975308642
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	5	0.4166666666666667
containment	motion_out_of	0	36	36	1.0
containment	motion_out_of	1	36	34	0.9444444444444444
containment	motion_out_of	2	18	14	0.7777777777777778
containment	motion_out_of	3	18	7	0.3888888888888889
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	31	0.8611111111111112
containment	movement_into_container	2	18	16	0.8888888888888888
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	134	0.9852941176470589
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	95	0.6985294117647058
containment	two_hop_fits_in	0	552	550	0.9963768115942029
containment	two_hop_fits_in	1	552	15	0.02717391304347826
containment	two_hop_fits_in	2	552	112	0.2028985507246377
containment	two_hop_fits_in	3	552	149	0.26992753623188404
containment	two_hop_fits_in	4	552	9	0.016304347826086956
containment	two_hop_fits_in	5	552	23	0.041666666666666664
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	523	0.947463768115942
containment	two_hop_is_in	1	552	538	0.9746376811594203
containment	two_hop_is_in	2	552	382	0.6920289855072463
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	547	0.9909420289855072
containment	two_hop_is_in	5	552	528	0.9565217391304348
containment	two_hop_is_in	6	552	540	0.9782608695652174
