reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	16	0.6666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	19	0.475
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	36	0.75
motion	non_motion_one_hop_jerund	2	32	28	0.875
orientation	above_below_one_hop	0	448	446	0.9955357142857143
orientation	above_below_one_hop	1	2688	1379	0.5130208333333334
orientation	cardinals_neutral	0	7680	265	0.034505208333333336
orientation	cardinals_one_hop	0	240	240	1.0
orientation	cardinals_one_hop	1	1680	422	0.2511904761904762
orientation	front_back_one_hop	0	448	416	0.9285714285714286
orientation	front_back_one_hop	1	2688	920	0.34226190476190477
orientation	left_right_one_hop	0	1008	748	0.7420634920634921
orientation	left_right_one_hop	1	3696	1753	0.47429653679653677
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	59	0.9833333333333333
distance	far_positive	0	20	20	1.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	72	0.4
distance	nearby_neutral	1	180	80	0.4444444444444444
distance	not_touching_neutral	0	180	34	0.18888888888888888
distance	not_touching_neutral	1	180	6	0.03333333333333333
distance	not_touching_neutral	2	180	26	0.14444444444444443
distance	not_touching_neutral	3	180	7	0.03888888888888889
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	174	159	0.9137931034482759
distance	touching_positive	1	173	155	0.8959537572254336
distance	touching_positive	2	173	152	0.8786127167630058
