reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	35	0.9722222222222222
motion	motion_one_hop	2	24	12	0.5
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	56	0.9333333333333333
motion	motion_one_hop_jerund	2	40	17	0.425
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	1	48	29	0.6041666666666666
motion	non_motion_one_hop_jerund	2	32	28	0.875
orientation	above_below_one_hop	0	448	315	0.703125
orientation	above_below_one_hop	1	2688	1481	0.5509672619047619
orientation	cardinals_neutral	0	7680	209	0.027213541666666667
orientation	cardinals_one_hop	0	240	195	0.8125
orientation	cardinals_one_hop	1	1680	856	0.5095238095238095
orientation	front_back_one_hop	0	448	268	0.5982142857142857
orientation	front_back_one_hop	1	2688	1136	0.4226190476190476
orientation	left_right_one_hop	0	1008	650	0.6448412698412699
orientation	left_right_one_hop	1	3696	2057	0.5565476190476191
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	58	0.9666666666666667
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	40	0.2222222222222222
distance	nearby_neutral	1	180	20	0.1111111111111111
distance	not_touching_neutral	0	180	1	0.005555555555555556
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	27	0.15
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	165	0.9166666666666666
distance	touching_positive	0	180	0	0.0
distance	touching_positive	1	180	178	0.9888888888888889
distance	touching_positive	2	180	178	0.9888888888888889
distance	transitivity_negative	0	1620	470	0.29012345679012347
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	1	0.08333333333333333
containment	motion_out_of	0	36	32	0.8888888888888888
containment	motion_out_of	1	36	21	0.5833333333333334
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	8	0.4444444444444444
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	19	0.5277777777777778
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	79	0.9404761904761905
containment	one_hop_pos	0	136	101	0.7426470588235294
containment	one_hop_pos	1	136	131	0.9632352941176471
containment	one_hop_pos	2	136	118	0.8676470588235294
containment	two_hop_fits_in	0	552	306	0.5543478260869565
containment	two_hop_fits_in	1	552	277	0.5018115942028986
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	73	0.1322463768115942
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	232	0.42028985507246375
containment	two_hop_is_in	1	552	467	0.8460144927536232
containment	two_hop_is_in	2	552	329	0.5960144927536232
containment	two_hop_is_in	3	552	534	0.967391304347826
containment	two_hop_is_in	4	552	413	0.7481884057971014
containment	two_hop_is_in	5	552	317	0.5742753623188406
containment	two_hop_is_in	6	552	522	0.9456521739130435
