reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	7	0.2916666666666667
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	12	0.3
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	1	48	32	0.6666666666666666
motion	non_motion_one_hop_jerund	2	32	25	0.78125
orientation	above_below_one_hop	0	448	279	0.6227678571428571
orientation	above_below_one_hop	1	2688	1363	0.5070684523809523
orientation	cardinals_neutral	0	7680	0	0.0
orientation	cardinals_one_hop	0	240	240	1.0
orientation	cardinals_one_hop	1	1680	717	0.42678571428571427
orientation	front_back_one_hop	0	448	266	0.59375
orientation	front_back_one_hop	1	2688	1250	0.4650297619047619
orientation	left_right_one_hop	0	1008	293	0.2906746031746032
orientation	left_right_one_hop	1	3696	2217	0.5998376623376623
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	59	0.9833333333333333
distance	far_negative	2	60	59	0.9833333333333333
distance	far_negative	3	60	51	0.85
distance	far_positive	0	20	16	0.8
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	4	0.022222222222222223
distance	nearby_neutral	1	180	6	0.03333333333333333
distance	not_touching_neutral	0	180	6	0.03333333333333333
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	24	0.13333333333333333
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	177	0.9833333333333333
distance	touching_negative	1	180	171	0.95
distance	touching_negative	2	180	165	0.9166666666666666
distance	touching_positive	0	180	3	0.016666666666666666
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	1094	0.6753086419753086
containment	filled_with	0	12	11	0.9166666666666666
containment	filled_with	1	12	4	0.3333333333333333
containment	motion_out_of	0	36	36	1.0
containment	motion_out_of	1	36	8	0.2222222222222222
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	8	0.4444444444444444
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	24	0.6666666666666666
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	136	1.0
containment	one_hop_pos	1	136	128	0.9411764705882353
containment	one_hop_pos	2	136	136	1.0
containment	two_hop_fits_in	0	552	306	0.5543478260869565
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	9	0.016304347826086956
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	2	0.0036231884057971015
containment	two_hop_is_in	0	552	95	0.1721014492753623
containment	two_hop_is_in	1	552	530	0.9601449275362319
containment	two_hop_is_in	2	552	43	0.07789855072463768
containment	two_hop_is_in	3	552	345	0.625
containment	two_hop_is_in	4	552	362	0.6557971014492754
containment	two_hop_is_in	5	552	532	0.9637681159420289
containment	two_hop_is_in	6	552	552	1.0
