reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	16	0.6666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	11	0.275
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	42	0.875
motion	non_motion_one_hop_jerund	1	48	24	0.5
motion	non_motion_one_hop_jerund	2	32	28	0.875
orientation	above_below_one_hop	0	448	0	0.0
orientation	above_below_one_hop	1	2688	995	0.37016369047619047
orientation	cardinals_neutral	0	7680	13	0.0016927083333333334
orientation	cardinals_one_hop	0	240	168	0.7
orientation	cardinals_one_hop	1	1680	778	0.4630952380952381
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	1442	0.5364583333333334
orientation	left_right_one_hop	0	1008	4	0.003968253968253968
orientation	left_right_one_hop	1	3696	889	0.24053030303030304
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	10	0.5
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	3	0.016666666666666666
distance	nearby_neutral	1	180	9	0.05
distance	not_touching_neutral	0	180	10	0.05555555555555555
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	33	0.18333333333333332
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	179	0.9944444444444445
distance	touching_negative	2	180	179	0.9944444444444445
distance	touching_positive	0	180	0	0.0
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	816	0.5037037037037037
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	4	0.3333333333333333
containment	motion_out_of	0	36	9	0.25
containment	motion_out_of	1	36	29	0.8055555555555556
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	14	0.7777777777777778
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	136	1.0
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	136	1.0
containment	two_hop_fits_in	0	552	552	1.0
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	1	0.0018115942028985507
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	542	0.9818840579710145
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	516	0.9347826086956522
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	551	0.9981884057971014
containment	two_hop_is_in	5	552	7	0.012681159420289856
containment	two_hop_is_in	6	552	13	0.02355072463768116
