reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	8	0.3333333333333333
motion	motion_one_hop	1	36	11	0.3055555555555556
motion	motion_one_hop	2	24	9	0.375
motion	motion_one_hop_jerund	0	60	40	0.6666666666666666
motion	motion_one_hop_jerund	1	60	23	0.38333333333333336
motion	motion_one_hop_jerund	2	40	20	0.5
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	19	0.5277777777777778
motion	non_motion_one_hop	2	24	6	0.25
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	26	0.5416666666666666
motion	non_motion_one_hop_jerund	2	32	11	0.34375
orientation	above_below_one_hop	0	448	0	0.0
orientation	above_below_one_hop	1	2688	818	0.30431547619047616
orientation	cardinals_neutral	0	7680	4971	0.647265625
orientation	cardinals_one_hop	0	240	0	0.0
orientation	cardinals_one_hop	1	1680	692	0.4119047619047619
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	722	0.26860119047619047
orientation	left_right_one_hop	0	1008	0	0.0
orientation	left_right_one_hop	1	3696	1155	0.3125
distance	far_negative	0	60	48	0.8
distance	far_negative	1	60	37	0.6166666666666667
distance	far_negative	2	60	40	0.6666666666666666
distance	far_negative	3	60	44	0.7333333333333333
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	180	22	0.12222222222222222
distance	nearby_neutral	1	180	55	0.3055555555555556
distance	not_touching_neutral	0	180	0	0.0
distance	not_touching_neutral	1	180	41	0.22777777777777777
distance	not_touching_neutral	2	180	37	0.20555555555555555
distance	not_touching_neutral	3	180	122	0.6777777777777778
distance	touching_negative	0	180	34	0.18888888888888888
distance	touching_negative	1	180	127	0.7055555555555556
distance	touching_negative	2	180	43	0.2388888888888889
distance	touching_positive	0	180	44	0.24444444444444444
distance	touching_positive	1	180	93	0.5166666666666667
distance	touching_positive	2	180	19	0.10555555555555556
distance	transitivity_negative	0	1620	171	0.10555555555555556
containment	filled_with	0	12	4	0.3333333333333333
containment	filled_with	1	12	12	1.0
containment	motion_out_of	0	36	18	0.5
containment	motion_out_of	1	36	30	0.8333333333333334
containment	motion_out_of	2	18	5	0.2777777777777778
containment	motion_out_of	3	18	0	0.0
containment	movement_into_container	0	36	26	0.7222222222222222
containment	movement_into_container	1	36	19	0.5277777777777778
containment	movement_into_container	2	18	17	0.9444444444444444
containment	one_hop_neg	0	84	22	0.2619047619047619
containment	one_hop_neg	1	84	0	0.0
containment	one_hop_pos	0	136	119	0.875
containment	one_hop_pos	1	136	82	0.6029411764705882
containment	one_hop_pos	2	136	78	0.5735294117647058
containment	two_hop_fits_in	0	552	132	0.2391304347826087
containment	two_hop_fits_in	1	552	98	0.17753623188405798
containment	two_hop_fits_in	2	552	286	0.5181159420289855
containment	two_hop_fits_in	3	552	190	0.3442028985507246
containment	two_hop_fits_in	4	552	64	0.11594202898550725
containment	two_hop_fits_in	5	552	331	0.5996376811594203
containment	two_hop_fits_in	6	552	313	0.5670289855072463
containment	two_hop_is_in	0	552	152	0.2753623188405797
containment	two_hop_is_in	1	552	497	0.9003623188405797
containment	two_hop_is_in	2	552	251	0.45471014492753625
containment	two_hop_is_in	3	552	224	0.4057971014492754
containment	two_hop_is_in	4	552	257	0.46557971014492755
containment	two_hop_is_in	5	552	29	0.05253623188405797
containment	two_hop_is_in	6	552	80	0.14492753623188406
