reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	14	0.5833333333333334
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	58	0.9666666666666667
motion	motion_one_hop_jerund	2	40	5	0.125
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	38	0.7916666666666666
motion	non_motion_one_hop_jerund	1	48	24	0.5
motion	non_motion_one_hop_jerund	2	32	21	0.65625
orientation	above_below_one_hop	0	448	99	0.22098214285714285
orientation	above_below_one_hop	1	2688	1757	0.6536458333333334
orientation	cardinals_neutral	0	7680	59	0.007682291666666666
orientation	cardinals_one_hop	0	240	187	0.7791666666666667
orientation	cardinals_one_hop	1	1680	1046	0.6226190476190476
orientation	front_back_one_hop	0	448	7	0.015625
orientation	front_back_one_hop	1	2688	2061	0.7667410714285714
orientation	left_right_one_hop	0	1008	319	0.31646825396825395
orientation	left_right_one_hop	1	3696	2662	0.7202380952380952
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	60	0.3333333333333333
distance	nearby_neutral	1	180	55	0.3055555555555556
distance	not_touching_neutral	0	180	6	0.03333333333333333
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	29	0.16111111111111112
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	0	0.0
distance	touching_positive	1	180	174	0.9666666666666667
distance	touching_positive	2	180	172	0.9555555555555556
distance	transitivity_negative	0	1620	1131	0.6981481481481482
containment	filled_with	0	12	8	0.6666666666666666
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	18	0.5
containment	motion_out_of	1	36	16	0.4444444444444444
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	16	0.8888888888888888
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	101	0.7426470588235294
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	134	0.9852941176470589
containment	two_hop_fits_in	0	552	483	0.875
containment	two_hop_fits_in	1	552	376	0.6811594202898551
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	120	0.21739130434782608
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	315	0.5706521739130435
containment	two_hop_is_in	1	552	492	0.8913043478260869
containment	two_hop_is_in	2	552	494	0.894927536231884
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	511	0.9257246376811594
containment	two_hop_is_in	5	552	55	0.09963768115942029
containment	two_hop_is_in	6	552	22	0.03985507246376811
