reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	4	0.16666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	11	0.275
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	32	0.8888888888888888
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	40	0.8333333333333334
motion	non_motion_one_hop_jerund	1	48	38	0.7916666666666666
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	259	0.578125
orientation	above_below_one_hop	1	2688	1070	0.39806547619047616
orientation	cardinals_neutral	0	7680	708	0.0921875
orientation	cardinals_one_hop	0	240	240	1.0
orientation	cardinals_one_hop	1	1680	240	0.14285714285714285
orientation	front_back_one_hop	0	448	298	0.6651785714285714
orientation	front_back_one_hop	1	2688	678	0.25223214285714285
orientation	left_right_one_hop	0	1008	991	0.9831349206349206
orientation	left_right_one_hop	1	3696	1632	0.44155844155844154
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	7	0.35
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	88	0.4888888888888889
distance	nearby_neutral	1	180	77	0.42777777777777776
distance	not_touching_neutral	0	180	100	0.5555555555555556
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	101	0.5611111111111111
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	0	0.0
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	178	0.9888888888888889
distance	transitivity_negative	0	1620	1620	1.0
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	36	1.0
containment	motion_out_of	1	36	30	0.8333333333333334
containment	motion_out_of	2	18	16	0.8888888888888888
containment	motion_out_of	3	18	7	0.3888888888888889
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	20	0.5555555555555556
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	127	0.9338235294117647
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	136	1.0
containment	two_hop_fits_in	0	552	421	0.7626811594202898
containment	two_hop_fits_in	1	552	7	0.012681159420289856
containment	two_hop_fits_in	2	552	52	0.09420289855072464
containment	two_hop_fits_in	3	552	23	0.041666666666666664
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	244	0.4420289855072464
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	363	0.657608695652174
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	144	0.2608695652173913
containment	two_hop_is_in	5	552	217	0.39311594202898553
containment	two_hop_is_in	6	552	395	0.7155797101449275
