reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	8	0.3333333333333333
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	4	0.1
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	40	0.8333333333333334
motion	non_motion_one_hop_jerund	1	48	41	0.8541666666666666
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	426	0.9508928571428571
orientation	above_below_one_hop	1	2688	452	0.16815476190476192
orientation	cardinals_neutral	0	7680	43	0.005598958333333333
orientation	cardinals_one_hop	0	240	240	1.0
orientation	cardinals_one_hop	1	1680	215	0.12797619047619047
orientation	front_back_one_hop	0	448	446	0.9955357142857143
orientation	front_back_one_hop	1	2688	276	0.10267857142857142
orientation	left_right_one_hop	0	1008	1008	1.0
orientation	left_right_one_hop	1	3696	770	0.20833333333333334
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	52	0.8666666666666667
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	19	0.95
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	114	0.6333333333333333
distance	nearby_neutral	1	180	85	0.4722222222222222
distance	not_touching_neutral	0	180	152	0.8444444444444444
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	136	0.7555555555555555
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	177	0.9833333333333333
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	24	0.13333333333333333
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	1569	0.9685185185185186
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	36	1.0
containment	motion_out_of	1	36	29	0.8055555555555556
containment	motion_out_of	2	18	15	0.8333333333333334
containment	motion_out_of	3	18	5	0.2777777777777778
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	28	0.7777777777777778
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	120	0.8823529411764706
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	135	0.9926470588235294
containment	two_hop_fits_in	0	552	272	0.4927536231884058
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	4	0.007246376811594203
containment	two_hop_fits_in	3	552	112	0.2028985507246377
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	364	0.6594202898550725
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	216	0.391304347826087
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	14	0.025362318840579712
containment	two_hop_is_in	5	552	203	0.3677536231884058
containment	two_hop_is_in	6	552	437	0.7916666666666666
