reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	12	0.5
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	4	0.1
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	37	0.7708333333333334
motion	non_motion_one_hop_jerund	1	48	33	0.6875
motion	non_motion_one_hop_jerund	2	32	20	0.625
orientation	above_below_one_hop	0	448	321	0.7165178571428571
orientation	above_below_one_hop	1	2688	986	0.36681547619047616
orientation	cardinals_neutral	0	7680	1	0.00013020833333333333
orientation	cardinals_one_hop	0	240	220	0.9166666666666666
orientation	cardinals_one_hop	1	1680	449	0.26726190476190476
orientation	front_back_one_hop	0	448	381	0.8504464285714286
orientation	front_back_one_hop	1	2688	383	0.14248511904761904
orientation	left_right_one_hop	0	1008	716	0.7103174603174603
orientation	left_right_one_hop	1	3696	1074	0.2905844155844156
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	37	0.20555555555555555
distance	nearby_neutral	1	180	33	0.18333333333333332
distance	not_touching_neutral	0	180	35	0.19444444444444445
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	30	0.16666666666666666
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	57	0.31666666666666665
distance	touching_positive	1	180	178	0.9888888888888889
distance	touching_positive	2	180	176	0.9777777777777777
distance	transitivity_negative	0	1620	1163	0.7179012345679012
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	28	0.7777777777777778
containment	motion_out_of	1	36	23	0.6388888888888888
containment	motion_out_of	2	18	7	0.3888888888888889
containment	motion_out_of	3	18	4	0.2222222222222222
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	17	0.9444444444444444
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	136	1.0
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	135	0.9926470588235294
containment	two_hop_fits_in	0	552	487	0.8822463768115942
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	290	0.5253623188405797
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	428	0.7753623188405797
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	498	0.9021739130434783
containment	two_hop_is_in	5	552	138	0.25
containment	two_hop_is_in	6	552	8	0.014492753623188406
