reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	8	0.3333333333333333
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	4	0.1
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	38	0.7916666666666666
motion	non_motion_one_hop_jerund	1	48	45	0.9375
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	1	0.002232142857142857
orientation	above_below_one_hop	1	2688	1499	0.5576636904761905
orientation	cardinals_neutral	0	7680	9	0.001171875
orientation	cardinals_one_hop	0	240	11	0.04583333333333333
orientation	cardinals_one_hop	1	1680	1429	0.8505952380952381
orientation	front_back_one_hop	0	448	3	0.006696428571428571
orientation	front_back_one_hop	1	2688	1920	0.7142857142857143
orientation	left_right_one_hop	0	1008	14	0.013888888888888888
orientation	left_right_one_hop	1	3696	3299	0.8925865800865801
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	7	0.35
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	117	0.65
distance	nearby_neutral	1	180	89	0.49444444444444446
distance	not_touching_neutral	0	180	105	0.5833333333333334
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	93	0.5166666666666667
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	3	0.016666666666666666
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	168	0.9333333333333333
distance	transitivity_negative	0	1620	1616	0.9975308641975309
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	36	1.0
containment	motion_out_of	1	36	35	0.9722222222222222
containment	motion_out_of	2	18	18	1.0
containment	motion_out_of	3	18	0	0.0
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	23	0.6388888888888888
containment	movement_into_container	2	18	10	0.5555555555555556
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	83	0.9880952380952381
containment	one_hop_pos	0	136	51	0.375
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	89	0.6544117647058824
containment	two_hop_fits_in	0	552	57	0.10326086956521739
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	1	0.0018115942028985507
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	93	0.16847826086956522
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	193	0.3496376811594203
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	129	0.23369565217391305
containment	two_hop_is_in	5	552	512	0.927536231884058
containment	two_hop_is_in	6	552	270	0.4891304347826087
