reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	11	0.4583333333333333
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	0	0.0
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	20	0.8333333333333334
motion	non_motion_one_hop_jerund	0	48	25	0.5208333333333334
motion	non_motion_one_hop_jerund	1	48	27	0.5625
motion	non_motion_one_hop_jerund	2	32	7	0.21875
orientation	above_below_one_hop	0	448	37	0.08258928571428571
orientation	above_below_one_hop	1	2688	1558	0.5796130952380952
orientation	cardinals_neutral	0	7680	52	0.0067708333333333336
orientation	cardinals_one_hop	0	240	13	0.05416666666666667
orientation	cardinals_one_hop	1	1680	1486	0.8845238095238095
orientation	front_back_one_hop	0	448	25	0.05580357142857143
orientation	front_back_one_hop	1	2688	2013	0.7488839285714286
orientation	left_right_one_hop	0	1008	318	0.31547619047619047
orientation	left_right_one_hop	1	3696	2371	0.641504329004329
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	33	0.55
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	35	0.5833333333333334
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	49	0.8166666666666667
distance	far_positive	2	60	59	0.9833333333333333
distance	nearby_neutral	0	180	31	0.17222222222222222
distance	nearby_neutral	1	180	26	0.14444444444444443
distance	not_touching_neutral	0	180	0	0.0
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	1	0.005555555555555556
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	179	0.9944444444444445
distance	touching_negative	2	180	169	0.9388888888888889
distance	touching_positive	0	180	0	0.0
distance	touching_positive	1	180	169	0.9388888888888889
distance	touching_positive	2	180	143	0.7944444444444444
distance	transitivity_negative	0	1620	1553	0.9586419753086419
containment	filled_with	0	12	7	0.5833333333333334
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	0	0.0
containment	motion_out_of	1	36	33	0.9166666666666666
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	18	1.0
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	17	0.9444444444444444
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	77	0.9166666666666666
containment	one_hop_pos	0	136	134	0.9852941176470589
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	133	0.9779411764705882
containment	two_hop_fits_in	0	552	246	0.44565217391304346
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	104	0.18840579710144928
containment	two_hop_is_in	1	552	544	0.9855072463768116
containment	two_hop_is_in	2	552	219	0.3967391304347826
containment	two_hop_is_in	3	552	477	0.8641304347826086
containment	two_hop_is_in	4	552	362	0.6557971014492754
containment	two_hop_is_in	5	552	271	0.49094202898550726
containment	two_hop_is_in	6	552	18	0.03260869565217391
