reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	12	0.5
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	2	0.05
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	36	0.75
motion	non_motion_one_hop_jerund	1	48	38	0.7916666666666666
motion	non_motion_one_hop_jerund	2	32	19	0.59375
orientation	above_below_one_hop	0	448	73	0.16294642857142858
orientation	above_below_one_hop	1	2688	1487	0.5531994047619048
orientation	cardinals_neutral	0	7680	0	0.0
orientation	cardinals_one_hop	0	240	101	0.42083333333333334
orientation	cardinals_one_hop	1	1680	773	0.4601190476190476
orientation	front_back_one_hop	0	448	58	0.12946428571428573
orientation	front_back_one_hop	1	2688	1328	0.49404761904761907
orientation	left_right_one_hop	0	1008	369	0.36607142857142855
orientation	left_right_one_hop	1	3696	1903	0.5148809523809523
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	31	0.17222222222222222
distance	nearby_neutral	1	180	21	0.11666666666666667
distance	not_touching_neutral	0	180	1	0.005555555555555556
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	14	0.07777777777777778
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	3	0.016666666666666666
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	164	0.9111111111111111
distance	transitivity_negative	0	1620	1547	0.9549382716049383
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	12	0.3333333333333333
containment	motion_out_of	1	36	23	0.6388888888888888
containment	motion_out_of	2	18	1	0.05555555555555555
containment	motion_out_of	3	18	18	1.0
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	4	0.1111111111111111
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	47	0.34558823529411764
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	98	0.7205882352941176
containment	two_hop_fits_in	0	552	86	0.15579710144927536
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	25	0.04528985507246377
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	151	0.27355072463768115
containment	two_hop_is_in	3	552	550	0.9963768115942029
containment	two_hop_is_in	4	552	61	0.1105072463768116
containment	two_hop_is_in	5	552	204	0.3695652173913043
containment	two_hop_is_in	6	552	101	0.18297101449275363
