reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	17	0.7083333333333334
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	8	0.3333333333333333
motion	motion_one_hop_jerund	0	60	56	0.9333333333333333
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	1	0.025
motion	non_motion_one_hop	0	24	21	0.875
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	0	0.0
motion	non_motion_one_hop_jerund	0	48	17	0.3541666666666667
motion	non_motion_one_hop_jerund	1	48	24	0.5
motion	non_motion_one_hop_jerund	2	32	0	0.0
orientation	above_below_one_hop	0	448	0	0.0
orientation	above_below_one_hop	1	2688	1374	0.5111607142857143
orientation	cardinals_neutral	0	7680	119	0.015494791666666667
orientation	cardinals_one_hop	0	240	0	0.0
orientation	cardinals_one_hop	1	1680	1405	0.8363095238095238
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	2035	0.7570684523809523
orientation	left_right_one_hop	0	1008	0	0.0
orientation	left_right_one_hop	1	3696	1726	0.466991341991342
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	20	1.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	60	0.3333333333333333
distance	nearby_neutral	1	180	60	0.3333333333333333
distance	not_touching_neutral	0	180	38	0.2111111111111111
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	39	0.21666666666666667
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	180	1.0
distance	touching_positive	1	180	157	0.8722222222222222
distance	touching_positive	2	180	160	0.8888888888888888
distance	transitivity_negative	0	1620	84	0.05185185185185185
containment	filled_with	0	12	2	0.16666666666666666
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	0	0.0
containment	motion_out_of	1	36	33	0.9166666666666666
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	18	1.0
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	82	0.6029411764705882
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	54	0.39705882352941174
containment	two_hop_fits_in	0	552	552	1.0
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	552	1.0
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	552	1.0
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	19	0.034420289855072464
containment	two_hop_is_in	5	552	0	0.0
containment	two_hop_is_in	6	552	1	0.0018115942028985507
