reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	16	0.6666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	0	0.0
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	21	0.875
motion	non_motion_one_hop_jerund	0	48	41	0.8541666666666666
motion	non_motion_one_hop_jerund	1	48	32	0.6666666666666666
motion	non_motion_one_hop_jerund	2	32	23	0.71875
orientation	above_below_one_hop	0	448	11	0.024553571428571428
orientation	above_below_one_hop	1	2688	1371	0.5100446428571429
orientation	cardinals_neutral	0	7680	108	0.0140625
orientation	cardinals_one_hop	0	240	192	0.8
orientation	cardinals_one_hop	1	1680	445	0.2648809523809524
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	1610	0.5989583333333334
orientation	left_right_one_hop	0	1008	227	0.2251984126984127
orientation	left_right_one_hop	1	3696	1690	0.45725108225108224
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	3	0.15
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	0	0.0
distance	nearby_neutral	1	180	1	0.005555555555555556
distance	not_touching_neutral	0	180	2	0.011111111111111112
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	14	0.07777777777777778
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	18	0.1
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	611	0.3771604938271605
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	7	0.19444444444444445
containment	motion_out_of	1	36	28	0.7777777777777778
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	18	1.0
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	114	0.8382352941176471
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	56	0.4117647058823529
containment	two_hop_fits_in	0	552	550	0.9963768115942029
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	0	0.0
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	535	0.9692028985507246
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	549	0.9945652173913043
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	270	0.4891304347826087
containment	two_hop_is_in	5	552	3	0.005434782608695652
containment	two_hop_is_in	6	552	0	0.0
