reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	16	0.6666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	20	0.5
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	46	0.9583333333333334
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	358	0.7991071428571429
orientation	above_below_one_hop	1	2688	778	0.28943452380952384
orientation	cardinals_neutral	0	7680	3388	0.44114583333333335
orientation	cardinals_one_hop	0	240	123	0.5125
orientation	cardinals_one_hop	1	1680	347	0.20654761904761904
orientation	front_back_one_hop	0	448	290	0.6473214285714286
orientation	front_back_one_hop	1	2688	735	0.2734375
orientation	left_right_one_hop	0	1008	346	0.34325396825396826
orientation	left_right_one_hop	1	3696	1992	0.538961038961039
distance	far_negative	0	60	54	0.9
distance	far_negative	1	60	55	0.9166666666666666
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	12	0.6
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	26	0.14444444444444443
distance	nearby_neutral	1	180	31	0.17222222222222222
distance	not_touching_neutral	0	180	12	0.06666666666666667
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	21	0.11666666666666667
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	177	0.9833333333333333
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	66	0.36666666666666664
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	12	7	0.5833333333333334
