reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	8	0.3333333333333333
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	9	0.225
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	1	48	26	0.5416666666666666
motion	non_motion_one_hop_jerund	2	32	20	0.625
orientation	above_below_one_hop	0	448	301	0.671875
orientation	above_below_one_hop	1	2688	653	0.24293154761904762
orientation	cardinals_neutral	0	7680	196	0.025520833333333333
orientation	cardinals_one_hop	0	240	198	0.825
orientation	cardinals_one_hop	1	1680	257	0.1529761904761905
orientation	front_back_one_hop	0	448	217	0.484375
orientation	front_back_one_hop	1	2688	904	0.33630952380952384
orientation	left_right_one_hop	0	1008	596	0.5912698412698413
orientation	left_right_one_hop	1	3696	973	0.26325757575757575
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	37	0.6166666666666667
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	52	0.8666666666666667
distance	far_positive	0	20	10	0.5
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	21	0.11666666666666667
distance	nearby_neutral	1	180	14	0.07777777777777778
distance	not_touching_neutral	0	180	43	0.2388888888888889
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	65	0.3611111111111111
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	117	0.65
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	162	0.9
distance	touching_positive	0	180	24	0.13333333333333333
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	925	0.5709876543209876
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	36	1.0
containment	motion_out_of	1	36	23	0.6388888888888888
containment	motion_out_of	2	18	2	0.1111111111111111
containment	motion_out_of	3	18	16	0.8888888888888888
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	20	0.5555555555555556
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	120	0.8823529411764706
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	111	0.8161764705882353
containment	two_hop_fits_in	0	552	551	0.9981884057971014
containment	two_hop_fits_in	1	552	0	0.0
containment	two_hop_fits_in	2	552	32	0.057971014492753624
containment	two_hop_fits_in	3	552	4	0.007246376811594203
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	2	0.0036231884057971015
containment	two_hop_fits_in	6	552	5	0.009057971014492754
containment	two_hop_is_in	0	552	538	0.9746376811594203
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	486	0.8804347826086957
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	419	0.7590579710144928
containment	two_hop_is_in	5	552	314	0.5688405797101449
containment	two_hop_is_in	6	552	512	0.927536231884058
