reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	8	0.3333333333333333
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	12	0.3
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	28	0.5833333333333334
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	257	0.5736607142857143
orientation	above_below_one_hop	1	2688	1239	0.4609375
orientation	cardinals_neutral	0	7680	107	0.013932291666666667
orientation	cardinals_one_hop	0	240	56	0.23333333333333334
orientation	cardinals_one_hop	1	1680	1352	0.8047619047619048
orientation	front_back_one_hop	0	448	125	0.27901785714285715
orientation	front_back_one_hop	1	2688	1616	0.6011904761904762
orientation	left_right_one_hop	0	1008	43	0.04265873015873016
orientation	left_right_one_hop	1	3696	1650	0.44642857142857145
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	58	0.9666666666666667
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	19	0.95
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	106	0.5888888888888889
distance	nearby_neutral	1	180	97	0.5388888888888889
distance	not_touching_neutral	0	180	89	0.49444444444444446
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	113	0.6277777777777778
distance	not_touching_neutral	3	180	10	0.05555555555555555
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	87	0.48333333333333334
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	178	0.9888888888888889
distance	transitivity_negative	0	1620	558	0.34444444444444444
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	8	0.2222222222222222
containment	motion_out_of	1	36	14	0.3888888888888889
containment	motion_out_of	2	18	8	0.4444444444444444
containment	motion_out_of	3	18	4	0.2222222222222222
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	11	0.3055555555555556
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	133	0.9779411764705882
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	135	0.9926470588235294
containment	two_hop_fits_in	0	552	546	0.9891304347826086
containment	two_hop_fits_in	1	552	3	0.005434782608695652
containment	two_hop_fits_in	2	552	62	0.11231884057971014
containment	two_hop_fits_in	3	552	73	0.1322463768115942
containment	two_hop_fits_in	4	552	0	0.0
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	552	1.0
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	458	0.8297101449275363
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	400	0.7246376811594203
containment	two_hop_is_in	5	552	512	0.927536231884058
containment	two_hop_is_in	6	552	547	0.9909420289855072
