reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	24	14	0.5833333333333334
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	16	0.4
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	24	1.0
motion	non_motion_one_hop_jerund	0	48	45	0.9375
motion	non_motion_one_hop_jerund	1	48	28	0.5833333333333334
motion	non_motion_one_hop_jerund	2	32	24	0.75
orientation	above_below_one_hop	0	448	290	0.6473214285714286
orientation	above_below_one_hop	1	2688	496	0.18452380952380953
orientation	cardinals_neutral	0	7680	1487	0.19361979166666668
orientation	cardinals_one_hop	0	240	230	0.9583333333333334
orientation	cardinals_one_hop	1	1680	277	0.16488095238095238
orientation	front_back_one_hop	0	448	331	0.7388392857142857
orientation	front_back_one_hop	1	2688	653	0.24293154761904762
orientation	left_right_one_hop	0	1008	893	0.8859126984126984
orientation	left_right_one_hop	1	3696	900	0.2435064935064935
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	57	0.95
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	51	0.85
distance	far_positive	0	20	14	0.7
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	13	0.07222222222222222
distance	nearby_neutral	1	180	0	0.0
distance	not_touching_neutral	0	180	121	0.6722222222222223
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	121	0.6722222222222223
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	180	1.0
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	39	0.21666666666666667
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	725	0.44753086419753085
containment	filled_with	0	12	12	1.0
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	21	0.5833333333333334
containment	motion_out_of	1	36	35	0.9722222222222222
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	15	0.8333333333333334
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	10	0.2777777777777778
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	136	1.0
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	136	1.0
containment	two_hop_fits_in	0	552	552	1.0
containment	two_hop_fits_in	1	552	133	0.24094202898550723
containment	two_hop_fits_in	2	552	55	0.09963768115942029
containment	two_hop_fits_in	3	552	10	0.018115942028985508
containment	two_hop_fits_in	4	552	9	0.016304347826086956
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	0	0.0
containment	two_hop_is_in	0	552	541	0.980072463768116
containment	two_hop_is_in	1	552	379	0.6865942028985508
containment	two_hop_is_in	2	552	417	0.7554347826086957
containment	two_hop_is_in	3	552	512	0.927536231884058
containment	two_hop_is_in	4	552	535	0.9692028985507246
containment	two_hop_is_in	5	552	247	0.447463768115942
containment	two_hop_is_in	6	552	411	0.7445652173913043
