reasoning_type,num_tests,acc_wo_partial_credit,acc_w_partial_credit,stdev_acc_w_partial_credit,size,model
motion,12,0.3333333333333333,0.6791087962962962,0.3182832228306815,220000000.0,T5
orientation,9,0.0,0.37437018999519,0.3234795936195995,220000000.0,T5
distance,20,0.15,0.5440432098765433,0.4306763747028338,220000000.0,T5
containment,28,0.1428571428571428,0.4780046076401576,0.4319356132239957,220000000.0,T5
motion,12,0.4166666666666667,0.7700810185185185,0.2720071101752613,770000000.0,T5
orientation,9,0.0,0.3446180555555556,0.1863365090989238,770000000.0,T5
distance,20,0.5,0.6127469135802469,0.4627355933442557,770000000.0,T5
containment,28,0.2857142857142857,0.4406829760889863,0.4230817472008559,770000000.0,T5
motion,12,0.0833333333333333,0.5237268518518519,0.358706137866031,60000000.0,T5
orientation,9,0.0,0.2874472026815777,0.3347535561395338,60000000.0,T5
distance,20,0.55,0.6953703703703703,0.3997823910822971,60000000.0,T5
containment,28,0.3928571428571428,0.4685559006211179,0.4721980391597531,60000000.0,T5
motion,12,0.3333333333333333,0.7648726851851851,0.2561349326257655,86000000.0,DeBERTa
orientation,9,0.0,0.4559076003086419,0.2994932004557768,86000000.0,DeBERTa
distance,20,0.45,0.6226851851851851,0.4365631749159905,86000000.0,DeBERTa
containment,28,0.2142857142857142,0.5508426196565582,0.41294942293922,86000000.0,DeBERTa
motion,12,0.5,0.8087962962962963,0.2779972127096752,350000000.0,DeBERTa
orientation,9,0.1111111111111111,0.505926577280744,0.3136784868923454,350000000.0,DeBERTa
distance,20,0.55,0.7186111111111111,0.3753569289011115,350000000.0,DeBERTa
containment,28,0.3571428571428571,0.606461606381683,0.3996932602537003,350000000.0,DeBERTa
motion,12,0.25,0.3333333333333333,0.4609301435382831,60000000.0,UnifiedQA
orientation,9,0.1111111111111111,0.3770179473304473,0.4321813476591453,60000000.0,UnifiedQA
distance,20,0.2,0.3839814814814814,0.4666763208143082,60000000.0,UnifiedQA
containment,28,0.0,0.2364099625357389,0.3474819105539662,60000000.0,UnifiedQA
motion,12,0.0833333333333333,0.3041666666666666,0.4355910735234749,770000000.0,UnifiedQA
orientation,9,0.4444444444444444,0.4444444444444444,0.4969039949999533,770000000.0,UnifiedQA
distance,20,0.3,0.3,0.4582575694955839,770000000.0,UnifiedQA
containment,28,0.5,0.5,0.5,770000000.0,UnifiedQA
motion,12,0.3333333333333333,0.3333333333333333,0.4714045207910317,220000000.0,UnifiedQA
orientation,9,0.4444444444444444,0.4444444444444444,0.4969039949999533,220000000.0,UnifiedQA
distance,20,0.4,0.4,0.4898979485566356,220000000.0,UnifiedQA
containment,28,0.2857142857142857,0.2857142857142857,0.4517539514526256,220000000.0,UnifiedQA
motion,12,0.5,0.7884259259259259,0.2681756671345719,355000000.0,RoBERTa
orientation,9,0.0,0.4734695040684624,0.3117422628698907,355000000.0,RoBERTa
distance,20,0.45,0.6375617283950616,0.421981163362645,355000000.0,RoBERTa
containment,28,0.2857142857142857,0.5469466772216133,0.4328897143402847,355000000.0,RoBERTa
motion,12,0.0833333333333333,0.4555555555555555,0.3727625293564001,17000000.0,ALBERT
orientation,9,0.0,0.248026207010582,0.2924602186657222,17000000.0,ALBERT
distance,20,0.35,0.5325,0.4554040229006262,17000000.0,ALBERT
containment,28,0.1785714285714285,0.3020093907128068,0.4395391842867568,17000000.0,ALBERT
motion,12,0.5833333333333334,0.8447916666666666,0.2382002651540179,,
orientation,9,0.0,0.52564540494228,0.343117301149537,,
distance,20,0.35,0.6795987654320987,0.3485555729920284,,
containment,28,0.25,0.7162787216335811,0.3653050341081812,,
motion,12,0.3333333333333333,0.8336805555555555,0.2005266703896303,,
orientation,9,0.0,0.5361724261463845,0.2090098084358156,,
distance,20,0.35,0.5820061728395062,0.4541107720772186,,
containment,28,0.1428571428571428,0.5831434022884515,0.3660801154508015,,
motion,12,0.5833333333333334,0.8296874999999999,0.2597381786356642,,
orientation,9,0.1111111111111111,0.5006571168029501,0.2547929477059812,,
distance,20,0.25,0.6190432098765432,0.4369573528441214,,
containment,28,0.2857142857142857,0.5554819753988552,0.4184820967582603,,
motion,12,0.4166666666666667,0.8122685185185187,0.2224549080785988,,cross-encoder-roberta
orientation,9,0.0,0.2573231696929614,0.2562989610083485,,cross-encoder-roberta
distance,20,0.45,0.6149074074074073,0.4449050371848838,,cross-encoder-roberta
containment,28,0.3928571428571428,0.575698757763975,0.4622332866888485,,cross-encoder-roberta
motion,12,0.4166666666666667,0.766435185185185,0.265650693706095,,
orientation,9,0.0,0.3992795013628347,0.2465135811409098,,
distance,20,0.35,0.6016049382716049,0.3825083765506089,,
containment,28,0.3214285714285714,0.6456988592538464,0.4129626798270691,,
motion,12,0.6666666666666666,0.8305555555555556,0.2623640153359639,,
orientation,9,0.0,0.383991264329806,0.2488162733047534,,
distance,20,0.45,0.7519444444444444,0.3269210791235534,,
containment,28,0.3214285714285714,0.6166385032273779,0.4183354945081082,,
motion,12,0.4166666666666667,0.8299768518518517,0.1920164701900478,,
orientation,9,0.0,0.3928209425605258,0.20195189894367,,
distance,20,0.35,0.6255864197530865,0.4086185922126454,,
containment,28,0.3571428571428571,0.6153330897576421,0.4369946523660445,,
motion,12,0.5,0.8359953703703705,0.2041733262435336,,
orientation,9,0.0,0.4733188156365239,0.3107179563423015,,
distance,20,0.45,0.6790432098765432,0.3904623018132821,,
containment,28,0.3214285714285714,0.6268762939958592,0.4088013358466614,,
motion,12,0.3333333333333333,0.7780671296296297,0.2655075627488665,125000000.0,RoBERTa
orientation,9,0.0,0.3216610549943883,0.2704850667654208,125000000.0,RoBERTa
distance,20,0.55,0.5860802469135802,0.4642818446462228,125000000.0,RoBERTa
containment,28,0.3214285714285714,0.5241761559696343,0.4622227588061864,125000000.0,RoBERTa
motion,12,0.25,0.7252893518518518,0.2774227271315503,110000000.0,XLNet
orientation,9,0.0,0.3534090909090909,0.4033725722671249,110000000.0,XLNet
distance,20,0.45,0.624104938271605,0.4345422303637666,110000000.0,XLNet
containment,28,0.3928571428571428,0.5553627248000649,0.4602180694499081,110000000.0,XLNet
