reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2098	0.8094135802469136
motion	two_motion_two_hop_jerund	1	2592	2010	0.7754629629629629
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	536	0.3489583333333333
orientation	above_below_one_hop	1	1536	1536	1.0
orientation	cardinals_one_hop	0	1344	674	0.5014880952380952
orientation	cardinals_one_hop	1	3072	2027	0.6598307291666666
orientation	front_back_one_hop	0	1536	510	0.33203125
orientation	front_back_one_hop	1	1536	1026	0.66796875
orientation	left_right_one_hop	0	1152	732	0.6354166666666666
orientation	left_right_one_hop	1	1152	1142	0.9913194444444444
containment	two_hop_compare_fit_in_1	0	432	16	0.037037037037037035
containment	two_hop_compare_fit_in_1	1	432	63	0.14583333333333334
containment	two_hop_compare_fit_in_2	0	360	83	0.23055555555555557
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	7	0.09722222222222222
containment	two_hop_compare_fit_in_3	1	72	12	0.16666666666666666
containment	two_hop_compare_fit_in_4	2	648	167	0.25771604938271603
containment	two_hop_compare_in_1	2	432	2	0.004629629629629629
containment	two_hop_fit_in	0	720	330	0.4583333333333333
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	530	0.7361111111111112
containment	two_hop_is_in	1	720	706	0.9805555555555555
containment	two_hop_not_fit_in	0	144	28	0.19444444444444445
containment	two_hop_not_fit_in	1	288	257	0.8923611111111112
containment	two_hop_not_in	0	1440	18	0.0125
containment	two_hop_not_in	2	1440	0	0.0
