reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	1652	0.6373456790123457
motion	two_motion_two_hop_jerund	1	2592	1774	0.6844135802469136
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	768	0.5
orientation	above_below_one_hop	1	1536	768	0.5
orientation	cardinals_one_hop	0	1344	480	0.35714285714285715
orientation	cardinals_one_hop	1	3072	2579	0.8395182291666666
orientation	front_back_one_hop	0	1536	166	0.10807291666666667
orientation	front_back_one_hop	1	1536	1370	0.8919270833333334
orientation	left_right_one_hop	0	1152	768	0.6666666666666666
orientation	left_right_one_hop	1	1152	384	0.3333333333333333
containment	two_hop_compare_fit_in_1	0	432	432	1.0
containment	two_hop_compare_fit_in_1	1	432	432	1.0
containment	two_hop_compare_fit_in_2	0	360	0	0.0
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	72	1.0
containment	two_hop_compare_fit_in_3	1	72	72	1.0
containment	two_hop_compare_fit_in_4	2	648	0	0.0
containment	two_hop_compare_in_1	2	432	0	0.0
containment	two_hop_fit_in	0	720	719	0.9986111111111111
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	720	1.0
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	144	1.0
containment	two_hop_not_fit_in	1	288	278	0.9652777777777778
containment	two_hop_not_in	0	1440	0	0.0
containment	two_hop_not_in	2	1440	0	0.0
