reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	two_motion_two_hop_jerund	0	2592	2110	0.8140432098765432
motion	two_motion_two_hop_jerund	1	2592	1947	0.7511574074074074
motion	two_motion_two_hop_jerund	2	2592	0	0.0
orientation	above_below_one_hop	0	1536	848	0.5520833333333334
orientation	above_below_one_hop	1	1536	1404	0.9140625
orientation	cardinals_one_hop	0	1344	804	0.5982142857142857
orientation	cardinals_one_hop	1	3072	1706	0.5553385416666666
orientation	front_back_one_hop	0	1536	618	0.40234375
orientation	front_back_one_hop	1	1536	918	0.59765625
orientation	left_right_one_hop	0	1152	696	0.6041666666666666
orientation	left_right_one_hop	1	1152	1008	0.875
containment	two_hop_compare_fit_in_1	0	432	400	0.9259259259259259
containment	two_hop_compare_fit_in_1	1	432	287	0.6643518518518519
containment	two_hop_compare_fit_in_2	0	360	12	0.03333333333333333
containment	two_hop_compare_fit_in_2	1	360	0	0.0
containment	two_hop_compare_fit_in_3	0	72	27	0.375
containment	two_hop_compare_fit_in_3	1	72	37	0.5138888888888888
containment	two_hop_compare_fit_in_4	2	648	36	0.05555555555555555
containment	two_hop_compare_in_1	2	432	3	0.006944444444444444
containment	two_hop_fit_in	0	720	708	0.9833333333333333
containment	two_hop_fit_in	1	720	720	1.0
containment	two_hop_is_in	0	720	706	0.9805555555555555
containment	two_hop_is_in	1	720	720	1.0
containment	two_hop_not_fit_in	0	144	119	0.8263888888888888
containment	two_hop_not_fit_in	1	288	246	0.8541666666666666
containment	two_hop_not_in	0	1440	49	0.034027777777777775
containment	two_hop_not_in	2	1440	0	0.0
