reasoning_type,fn_name,test_id,num_tests,num_correct,test_acc,size,model
motion,two_motion_two_hop_jerund,0,2592,0,0.0,17000000.0,ALBERT
motion,two_motion_two_hop_jerund,1,2592,1914,0.7384259259259259,17000000.0,ALBERT
motion,two_motion_two_hop_jerund,2,2592,1179,0.4548611111111111,17000000.0,ALBERT
orientation,above_below_one_hop,0,1536,0,0.0,17000000.0,ALBERT
orientation,above_below_one_hop,1,1536,364,0.2369791666666666,17000000.0,ALBERT
orientation,cardinals_one_hop,0,1344,0,0.0,17000000.0,ALBERT
orientation,cardinals_one_hop,1,3072,2735,0.8902994791666666,17000000.0,ALBERT
orientation,front_back_one_hop,0,1536,0,0.0,17000000.0,ALBERT
orientation,front_back_one_hop,1,1536,742,0.4830729166666667,17000000.0,ALBERT
orientation,left_right_one_hop,0,1152,20,0.0173611111111111,17000000.0,ALBERT
orientation,left_right_one_hop,1,1152,367,0.3185763888888889,17000000.0,ALBERT
containment,two_hop_compare_fit_in_1,0,432,0,0.0,17000000.0,ALBERT
containment,two_hop_compare_fit_in_1,1,432,379,0.8773148148148148,17000000.0,ALBERT
containment,two_hop_compare_fit_in_2,0,360,320,0.8888888888888888,17000000.0,ALBERT
containment,two_hop_compare_fit_in_2,1,360,360,1.0,17000000.0,ALBERT
containment,two_hop_compare_fit_in_3,0,72,0,0.0,17000000.0,ALBERT
containment,two_hop_compare_fit_in_3,1,72,0,0.0,17000000.0,ALBERT
containment,two_hop_compare_fit_in_4,2,648,345,0.5324074074074074,17000000.0,ALBERT
containment,two_hop_compare_in_1,2,432,432,1.0,17000000.0,ALBERT
containment,two_hop_fit_in,0,720,247,0.3430555555555555,17000000.0,ALBERT
containment,two_hop_fit_in,1,720,720,1.0,17000000.0,ALBERT
containment,two_hop_is_in,0,720,34,0.0472222222222222,17000000.0,ALBERT
containment,two_hop_is_in,1,720,716,0.9944444444444444,17000000.0,ALBERT
containment,two_hop_not_fit_in,0,144,26,0.1805555555555555,17000000.0,ALBERT
containment,two_hop_not_fit_in,1,288,144,0.5,17000000.0,ALBERT
containment,two_hop_not_in,0,1440,1351,0.9381944444444444,17000000.0,ALBERT
containment,two_hop_not_in,2,1440,691,0.4798611111111111,17000000.0,ALBERT
motion,two_motion_two_hop_jerund,0,2592,2316,0.8935185185185185,,
motion,two_motion_two_hop_jerund,1,2592,2122,0.8186728395061729,,
motion,two_motion_two_hop_jerund,2,2592,0,0.0,,
orientation,above_below_one_hop,0,1536,946,0.6158854166666666,,
orientation,above_below_one_hop,1,1536,1494,0.97265625,,
orientation,cardinals_one_hop,0,1344,212,0.1577380952380952,,
orientation,cardinals_one_hop,1,3072,2324,0.7565104166666666,,
orientation,front_back_one_hop,0,1536,552,0.359375,,
orientation,front_back_one_hop,1,1536,984,0.640625,,
orientation,left_right_one_hop,0,1152,369,0.3203125,,
orientation,left_right_one_hop,1,1152,1040,0.9027777777777778,,
containment,two_hop_compare_fit_in_1,0,432,34,0.0787037037037037,,
containment,two_hop_compare_fit_in_1,1,432,5,0.011574074074074,,
containment,two_hop_compare_fit_in_2,0,360,154,0.4277777777777777,,
containment,two_hop_compare_fit_in_2,1,360,7,0.0194444444444444,,
containment,two_hop_compare_fit_in_3,0,72,24,0.3333333333333333,,
containment,two_hop_compare_fit_in_3,1,72,38,0.5277777777777778,,
containment,two_hop_compare_fit_in_4,2,648,291,0.449074074074074,,
containment,two_hop_compare_in_1,2,432,8,0.0185185185185185,,
containment,two_hop_fit_in,0,720,719,0.9986111111111112,,
containment,two_hop_fit_in,1,720,720,1.0,,
containment,two_hop_is_in,0,720,633,0.8791666666666667,,
containment,two_hop_is_in,1,720,720,1.0,,
containment,two_hop_not_fit_in,0,144,130,0.9027777777777778,,
containment,two_hop_not_fit_in,1,288,265,0.9201388888888888,,
containment,two_hop_not_in,0,1440,2,0.0013888888888888,,
containment,two_hop_not_in,2,1440,0,0.0,,
motion,two_motion_two_hop_jerund,0,2592,0,0.0,6700000000.0,GPT
motion,two_motion_two_hop_jerund,1,2592,2592,1.0,6700000000.0,GPT
motion,two_motion_two_hop_jerund,2,2592,0,0.0,6700000000.0,GPT
orientation,above_below_one_hop,0,1536,0,0.0,6700000000.0,GPT
orientation,above_below_one_hop,1,1536,1536,1.0,6700000000.0,GPT
orientation,cardinals_one_hop,0,1344,0,0.0,6700000000.0,GPT
orientation,cardinals_one_hop,1,3072,3072,1.0,6700000000.0,GPT
orientation,front_back_one_hop,0,1536,0,0.0,6700000000.0,GPT
orientation,front_back_one_hop,1,1536,1536,1.0,6700000000.0,GPT
orientation,left_right_one_hop,0,1152,0,0.0,6700000000.0,GPT
orientation,left_right_one_hop,1,1152,1152,1.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_1,0,432,0,0.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_1,1,432,432,1.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_2,0,360,0,0.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_2,1,360,0,0.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_3,0,72,0,0.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_3,1,72,72,1.0,6700000000.0,GPT
containment,two_hop_compare_fit_in_4,2,648,0,0.0,6700000000.0,GPT
containment,two_hop_compare_in_1,2,432,0,0.0,6700000000.0,GPT
containment,two_hop_fit_in,0,720,0,0.0,6700000000.0,GPT
containment,two_hop_fit_in,1,720,720,1.0,6700000000.0,GPT
containment,two_hop_is_in,0,720,0,0.0,6700000000.0,GPT
containment,two_hop_is_in,1,720,720,1.0,6700000000.0,GPT
containment,two_hop_not_fit_in,0,144,0,0.0,6700000000.0,GPT
containment,two_hop_not_fit_in,1,288,288,1.0,6700000000.0,GPT
containment,two_hop_not_in,0,1440,0,0.0,6700000000.0,GPT
