reasoning_type,num_tests,acc_wo_partial_credit,acc_w_partial_credit,stdev_acc_w_partial_credit,size,model
motion,3,0.0,0.5039866255144033,0.3646667215441257,110000000.0,XLNet
orientation,8,0.25,0.661072746155754,0.3482500486215608,110000000.0,XLNet
containment,16,0.4375,0.6035590277777777,0.472984466696741,110000000.0,XLNet
motion,3,0.0,0.5282921810699589,0.3738160265319746,1320000000.0,DeBERTa
orientation,8,0.125,0.6421266586061508,0.2379393927147912,1320000000.0,DeBERTa
containment,16,0.0625,0.3258728780864198,0.3560253882266294,1320000000.0,DeBERTa
motion,3,0.0,0.5488683127572016,0.3883559189413694,355000000.0,RoBERTa
orientation,8,0.125,0.6332620287698413,0.2721193867595778,355000000.0,RoBERTa
containment,16,0.1875,0.4145061728395062,0.4216400819714029,355000000.0,RoBERTa
motion,3,0.3333333333333333,0.3335905349794238,0.4712227570518378,770000000.0,UnifiedQA
orientation,8,0.5,0.5,0.5,770000000.0,UnifiedQA
containment,16,0.3125,0.3125,0.4635124054434789,770000000.0,UnifiedQA
motion,3,0.0,0.5727880658436214,0.4060578267900248,,
orientation,8,0.0,0.5534706721230158,0.3620030916990727,,
containment,16,0.125,0.4730179398148148,0.405682985519612,,
motion,3,0.0,0.3393775720164609,0.4518777835574089,60000000.0,UnifiedQA
orientation,8,0.125,0.4244791666666667,0.4513071361096737,60000000.0,UnifiedQA
containment,16,0.125,0.3109085648148148,0.4115181192158291,60000000.0,UnifiedQA
motion,3,0.0,0.5200617283950617,0.3747690560097345,,cross-encoder-roberta
orientation,8,0.0,0.5952012803819445,0.2988708162097682,,cross-encoder-roberta
containment,16,0.4375,0.5941840277777778,0.4685761557134778,,cross-encoder-roberta
motion,3,0.0,0.4965277777777777,0.352522559652591,86000000.0,DeBERTa
orientation,8,0.0,0.591980949280754,0.4030781259573597,86000000.0,DeBERTa
containment,16,0.125,0.4829764660493827,0.4117362170267483,86000000.0,DeBERTa
motion,3,0.3333333333333333,0.3333333333333333,0.4714045207910317,220000000.0,UnifiedQA
orientation,8,0.5,0.5,0.5,220000000.0,UnifiedQA
containment,16,0.3125,0.3125,0.4635124054434789,220000000.0,UnifiedQA
motion,3,0.0,0.3722993827160494,0.2681859089553002,17000000.0,ALBERT
orientation,8,0.0,0.2679578993055556,0.318586658262604,17000000.0,ALBERT
containment,16,0.1875,0.5488715277777778,0.3972574527467125,17000000.0,ALBERT
motion,3,0.0,0.5978652263374485,0.4085090516030993,,
orientation,8,0.0,0.5223679315476191,0.2964741766422724,,
containment,16,0.1875,0.4596402391975309,0.4295645703115312,,
motion,3,0.0,0.5847479423868313,0.4135296592298157,3000000000.0,T5
orientation,8,0.375,0.4975818452380952,0.4894100914635221,3000000000.0,T5
containment,16,0.1875,0.2436921296296296,0.3785787763061608,3000000000.0,T5
motion,3,0.0,0.5114454732510288,0.3714771397002833,,
orientation,8,0.0,0.6156567770337302,0.312359371029281,,
containment,16,0.25,0.4168692129629629,0.4063641079309765,,
motion,3,0.0,0.5325360082304526,0.3620957541375481,,
orientation,8,0.0,0.7623969184027778,0.2027143056083449,,
containment,16,0.25,0.4839554398148147,0.4121398799975044,,
motion,3,0.0,0.4867541152263374,0.3474799474093888,220000000.0,T5
orientation,8,0.25,0.5005018446180556,0.4752723043997854,220000000.0,T5
containment,16,0.25,0.4211805555555555,0.4255555045601217,220000000.0,T5
motion,3,0.0,0.53125,0.3758889645702143,770000000.0,T5
orientation,8,0.125,0.4842354910714286,0.4578160719889433,770000000.0,T5
containment,16,0.1875,0.4387538580246913,0.412125259587395,770000000.0,T5
motion,3,0.0,0.4405864197530864,0.3121336698540001,60000000.0,T5
orientation,8,0.0,0.5245826357886905,0.2483987661500965,60000000.0,T5
containment,16,0.5,0.6227430555555555,0.4824444739827228,60000000.0,T5
motion,3,0.0,0.5488683127572016,0.3416000499026086,,
orientation,8,0.0,0.6703714037698413,0.2110758193433212,,
containment,16,0.0625,0.5186390817901233,0.3570923443316098,,
motion,3,0.0,0.5100308641975309,0.3759455850779372,125000000.0,RoBERTa
orientation,8,0.125,0.6260521298363094,0.3115717805809445,125000000.0,RoBERTa
containment,16,0.25,0.6099826388888888,0.4724851179272793,125000000.0,RoBERTa
motion,3,0.0,0.5520833333333334,0.3922229388969128,,
orientation,8,0.0,0.5981832837301587,0.2581020545926998,,
containment,16,0.1875,0.4977623456790123,0.3971326636859538,,
motion,3,0.0,0.4629629629629629,0.3440492887988573,,
orientation,8,0.0,0.6204233320932541,0.3422397210343061,,
containment,16,0.1875,0.5411265432098765,0.4091106257623408,,
